,Permno,Ticker,B/P,Mktcap,Ret
0,1,AA,0.5555555555555556,7.85,0.42
1,2,AAC,0.7692307692307692,1.23,0.0072
2,3,AAPL,0.027419797093501508,2416.3,0.06
4,5,AAWW,1.4285714285714286,1.86,0.0626
5,6,ABBV,0.061387354205033766,259.13,0.2973
6,7,ABC,0.018378974453225512,29.4,0.2708
8,9,ABTX,0.8928571428571428,814.32,0.1916
9,10,AC,1.1111111111111112,815.51,0.0129
10,11,ACC,0.341296928327645,9.06,0.3348
11,12,ACEL,0.1594896331738437,1.01,0.0209
12,13,ACET,0.4504504504504504,660.58,1.1596
13,14,ACEV,0.30120481927710846,141.71,0.031400000000000004
14,15,ACGL,0.7352941176470588,16.23,0.1917
15,16,ACHC,0.3731343283582089,6.78,0.32380000000000003
16,17,ACI,0.23640661938534277,14.28,0.2889
17,18,ACII,0.8064516129032259,423.97,0.0072
19,20,ACLS,0.27624309392265195,1.95,0.7863
20,21,ACM,0.27027027027027023,9.22,0.1294
21,22,ACNB,0.9259259259259258,265.75,0.1487
22,23,ACRS,0.18181818181818182,1.07,0.13449999999999998
23,24,ADC,0.6451612903225806,5.63,0.0471
24,25,ADER,0.7462686567164178,338.37,0.016
25,26,ADEX,0.7633587786259541,339.48,0.0176
26,27,ADI,0.44052863436123346,81.45,0.0155
27,28,ADM,0.5681818181818182,41.37,0.2851
28,29,ADMA,0.29940119760479045,411.26,0.4
29,30,ADP,0.04580852038479157,90.21,0.08560000000000001
30,31,ADTN,0.3205128205128205,1.64,0.16469999999999999
31,32,ADUS,0.40322580645161293,1.45,0.1211
32,33,AE,1.2048192771084338,138.53,0.2095
33,34,AEAC,0.7299270072992701,295.01,0.0165
34,35,AEE,0.44052863436123346,22.15,0.0296
35,36,AEG,2.7027027027027026,8.76,0.07629999999999999
36,37,AEHR,0.17825311942959002,241.96,0.4397
37,38,AEL,1.4705882352941175,3.32,0.2047
38,39,AEP,0.5025125628140703,47.58,0.09119999999999999
39,40,AFBI,1.1627906976744187,97.78,0.1286
40,41,AFG,0.42372881355932207,11.37,0.3165
41,42,AFL,0.8264462809917356,34.85,0.063
42,43,AFRI,0.7194244604316548,283.78,0.046
43,44,AGM,0.6535947712418301,1.06,0.0495
44,45,AGO,1.5625,3.53,0.24170000000000003
45,46,AGTI,0.33444816053511706,2.71,0.1401
46,47,AHH,0.5,1.14,0.0461
47,48,AIG,1.3157894736842106,39.63,0.1516
48,49,AIN,0.32894736842105265,2.55,0.039900000000000005
49,50,AIR,0.6535947712418301,1.55,0.2905
51,52,AIT,0.3048780487804878,3.57,0.10310000000000001
52,53,AIV,0.4694835680751174,1.08,0.1131
53,54,AIZ,0.53475935828877,9.13,0.111
54,55,AJG,0.25839793281653745,34.34,0.2187
55,56,ALB,0.23529411764705882,24.27,0.18780000000000002
56,57,ALC,0.5464480874316939,35.51,0.06280000000000001
57,58,ALCO,0.9900990099009901,265.82,0.012
58,59,ALEX,0.819672131147541,1.28,0.005600000000000001
59,60,ALJJ,0.0048543689320388345,86.95,0.5489
60,61,ALKS,0.2222222222222222,4.84,0.2734
61,62,ALPN,0.4166666666666667,273.15,0.0815
62,63,ALT,0.3731343283582089,484.99,0.2242
63,64,ALTU,0.7518796992481203,372.75,0.0143
64,65,AM,0.47619047619047616,4.76,0.0574
65,66,AMAL,0.8547008547008548,645.86,0.41119999999999995
66,67,AMCR,0.23809523809523808,18.84,0.12269999999999999
67,68,AMGN,0.006752194463200541,130.47,0.0024
70,71,AMN,0.18761726078799248,5.48,0.299
71,72,AMNB,0.8771929824561404,371.66,0.19579999999999997
72,73,AMPH,0.2717391304347826,1.72,0.8301999999999999
74,75,AMR,0.3484320557491289,2.56,5.3118
75,76,AMRK,0.6289308176100629,687.26,0.44310000000000005
76,77,AMTB,0.7352941176470588,972.84,0.41659999999999997
78,79,AMX,0.3048780487804878,61.06,0.2182
80,81,AN,0.303951367781155,7.06,0.1674
81,82,ANDE,1.0101010101010102,1.04,0.23
82,83,ANET,0.1287001287001287,31.47,0.15710000000000002
83,84,AON,0.01984126984126984,57.9,0.21559999999999999
84,85,AOSL,0.8264462809917356,977.9,0.488
86,87,APGB,0.7633587786259541,844.84,0.002
87,88,APH,0.15873015873015872,39.55,0.0039000000000000003
88,89,APLE,0.8695652173913044,3.59,0.13699999999999998
89,90,APOG,0.36496350364963503,870.87,0.12029999999999999
90,91,AQUA,0.15360983102918588,4.11,0.1124
91,92,AR,0.5,10.56,1.7815
92,93,ARC,1.4084507042253522,112.07,0.295
93,94,ARCB,0.5,1.89,0.48450000000000004
94,95,ARCH,0.4098360655737705,2.56,1.7159
95,96,ARCO,0.17006802721088435,1.34,0.2091
96,97,ARES,0.15503875968992248,17.55,0.0197
97,98,ARGX,0.15408320493066255,20.04,0.19030000000000002
98,99,ARKO,0.2114164904862579,1.1,0.1293
99,100,ARKR,0.7874015748031495,69.07,0.1418
100,101,ARL,1.0869565217391304,222.6,0.3447
101,102,ARLO,0.18726591760299627,587.72,0.1384
102,103,ARLP,0.4629629629629629,2.6,2.0366
103,104,ARMP,0.5376344086021505,144.37,0.034
104,105,AROC,0.6993006993006994,1.26,0.0315
105,106,ARTNA,0.3717472118959108,474.72,0.3483
106,107,ARW,0.6756756756756757,7.78,0.07919999999999999
107,108,ASB,1.3157894736842106,2.78,0.0334
108,109,ASC,1.0416666666666667,269.9,1.2893999999999999
109,110,ASGN,0.38759689922480617,4.7,0.0016
110,111,ASH,0.591715976331361,5.46,0.21100000000000002
111,112,ASIX,0.6578947368421053,978.34,0.2589
112,113,ASLE,0.49751243781094534,859.37,0.4351
113,114,ASO,0.425531914893617,3.41,0.1753
115,116,ASR,0.33003300330033003,5.65,0.1241
116,117,ASRT,0.8064516129032259,138.04,1.4677
117,118,ASRV,1.7241379310344829,65.91,0.0322
