No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,AA,6.27%,-9.62%,-49.80%,-26.86%,42.00%,-24.64%,5.18%,5.11%,2.10,7.13M,0.64,44.19,-1.59%,"2,337,478"
2,AAC,0.10%,0.31%,0.20%,1.03%,0.72%,1.03%,0.21%,0.20%,-,320.82K,0.37,9.85,0.08%,"61,248"
3,AAPL,3.52%,16.10%,-8.52%,-12.75%,6.00%,-14.96%,3.02%,2.67%,1.90,93.75M,0.69,153.36,1.56%,"33,148,619"
4,AAQC,0.10%,0.20%,0.20%,0.62%,0.72%,0.62%,0.05%,0.11%,-,28.58K,0.00,9.78,0.00%,0
5,AAWW,11.55%,7.31%,-2.18%,-18.01%,6.26%,-28.39%,3.01%,3.23%,2.50,441.37K,0.55,68.06,0.97%,"125,922"
6,ABBV,-1.78%,7.61%,-6.04%,10.21%,29.73%,10.59%,1.94%,2.17%,2.20,6.72M,0.50,149.86,0.08%,"1,715,953"
7,ABC,1.21%,1.51%,-11.62%,5.06%,27.08%,7.68%,1.93%,2.27%,2.30,1.55M,0.24,142.03,-0.74%,"187,707"
8,ABEQ,0.96%,0.41%,-10.36%,-7.16%,0.17%,-5.37%,0.74%,0.94%,-,13.57K,3.09,26.83,-0.33%,"21,628"
9,ABTX,5.34%,6.62%,1.22%,-7.96%,19.16%,-1.87%,2.67%,2.61%,3.00,67.31K,0.54,41.56,0.34%,"18,743"
10,AC,2.33%,6.92%,-1.26%,-17.64%,1.29%,-12.28%,1.67%,2.81%,-,14.88K,0.03,37.15,-1.51%,245
11,ACC,0.59%,1.68%,13.20%,17.21%,33.48%,13.77%,0.26%,0.42%,3.00,3.82M,0.88,65.18,0.00%,"1,723,238"
12,ACEL,3.12%,12.20%,-9.73%,-8.41%,2.09%,-13.82%,2.64%,2.86%,2.20,216.00K,0.67,11.21,-0.09%,"74,961"
13,ACET,1.23%,59.93%,8.93%,18.96%,115.96%,-0.97%,7.85%,7.62%,1.50,646.13K,0.19,17.60,1.62%,"64,571"
14,ACEV,0.20%,0.59%,0.99%,2.00%,3.14%,2.21%,0.30%,0.33%,-,66.66K,0.28,10.18,0.00%,"9,692"
15,ACGL,-0.68%,3.91%,-9.79%,-7.45%,19.17%,-1.28%,2.19%,2.19%,-,2.00M,0.31,43.67,-0.48%,"319,432"
16,ACHC,6.07%,16.73%,4.63%,33.99%,32.38%,27.22%,3.05%,3.34%,2.20,580.51K,0.84,76.92,-0.39%,"249,981"
17,ACI,0.00%,-5.63%,-19.72%,-14.35%,28.89%,-12.22%,1.89%,2.98%,2.50,2.82M,0.73,26.78,1.08%,"1,062,839"
18,ACII,0.10%,0.20%,0.10%,0.92%,0.72%,1.03%,0.24%,0.22%,-,83.79K,0.02,9.85,0.20%,829
19,ACKIT,0.29%,0.49%,1.08%,2.07%,3.82%,2.18%,0.06%,0.18%,-,42.54K,0.00,10.31,-0.19%,53
20,ACLS,15.45%,17.84%,7.68%,-14.78%,78.63%,-18.40%,5.38%,5.23%,1.80,358.42K,1.42,64.17,5.47%,"261,446"
21,ACM,3.70%,8.46%,-13.88%,-10.05%,12.94%,-14.10%,2.71%,2.88%,1.70,692.02K,0.48,67.04,0.90%,"171,157"
22,ACNB,3.18%,-7.35%,-7.49%,-7.62%,14.87%,1.50%,3.21%,4.28%,-,53.33K,0.10,31.69,-0.19%,"2,699"
23,ACRS,5.16%,8.85%,0.06%,49.03%,13.45%,10.80%,6.12%,6.95%,1.50,394.01K,0.43,16.50,2.42%,"86,943"
24,ADC,4.08%,11.04%,8.49%,11.88%,4.71%,6.87%,2.09%,2.07%,1.80,831.97K,0.36,75.87,-0.51%,"155,276"
25,ADER,0.10%,0.20%,-0.35%,-0.05%,1.60%,-0.05%,0.09%,0.10%,-,93.46K,0.00,9.84,-0.05%,162
26,ADEX,0.20%,-0.05%,-0.61%,-0.20%,1.76%,-0.61%,0.05%,0.09%,-,75.35K,9.59,9.85,0.10%,"372,396"
27,ADI,9.05%,12.54%,0.69%,-6.13%,1.55%,-8.15%,3.56%,2.84%,1.90,3.46M,0.51,162.55,0.68%,"913,587"
28,ADM,1.35%,-6.58%,-23.46%,3.19%,28.51%,9.23%,2.10%,3.07%,2.30,3.78M,0.39,74.44,0.83%,"756,667"
29,ADMA,-3.12%,6.90%,8.50%,55.00%,40.00%,53.90%,7.50%,7.10%,1.50,2.94M,0.27,2.21,1.84%,"410,202"
30,ADP,3.14%,9.51%,-3.63%,-4.28%,8.56%,-11.21%,2.21%,2.28%,3.00,1.73M,0.94,217.54,-0.64%,"833,924"
31,ADTN,12.59%,28.23%,24.72%,13.80%,16.47%,-2.10%,5.67%,4.78%,2.20,686.52K,0.68,22.49,0.60%,"241,915"
32,ADUS,6.47%,19.80%,3.21%,8.22%,12.11%,-1.57%,3.00%,3.86%,1.40,74.34K,0.89,93.95,2.08%,"34,066"
33,AE,0.96%,-8.62%,-16.00%,5.67%,20.95%,13.99%,3.72%,3.95%,1.50,10.24K,0.64,31.20,-1.57%,"3,392"
34,AEAC,0.00%,0.05%,0.51%,1.03%,1.65%,0.92%,0.06%,0.06%,-,53.72K,0.03,9.86,0.10%,700
35,AEE,-1.20%,5.45%,-10.00%,-1.84%,2.96%,-2.85%,1.54%,2.13%,2.20,1.50M,0.80,86.16,-0.36%,"613,425"
36,AEG,2.42%,-7.24%,-25.13%,-27.69%,7.63%,-14.37%,2.21%,2.34%,3.00,5.00M,0.92,4.19,-0.95%,"2,383,710"
37,AEHR,24.49%,24.32%,3.84%,-31.24%,43.97%,-61.95%,9.52%,6.63%,-,377.66K,9.45,10.88,18.21%,"1,839,569"
