No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
1,AA,7.85B,12.00,6.06,-,0.62,1.80,5.05,14.51,347.00%,-12.97%,24.80%,-,5.50%,44.27,-1.40%,"2,325,121"
2,AAC,1.23B,98.40,-,-,-,1.30,2460.20,-,-,-,-,-,-,9.85,0.08%,"61,248"
3,AAPL,2416.30B,24.54,23.21,2.48,6.26,36.47,46.91,26.54,71.40%,6.27%,22.00%,9.91%,11.10%,153.57,1.70%,"32,877,075"
4,AAQC,391.20M,-,-,-,-,-,-,-,-,-,-,-,-,9.78,0.00%,0
5,AAWW,1.86B,4.38,4.64,0.44,0.44,0.70,2.55,1.96,19.70%,-13.92%,56.90%,10.00%,17.00%,68.26,1.28%,"125,354"
6,ABBV,259.13B,21.48,12.51,71.59,4.57,16.29,34.22,20.60,137.00%,-14.38%,12.20%,0.30%,17.00%,149.86,0.08%,"1,690,509"
7,ABC,29.40B,17.48,12.51,1.77,0.13,54.41,8.77,11.92,144.40%,4.71%,3.20%,9.87%,7.80%,141.93,-0.81%,"185,790"
8,ABEQ,-,-,-,-,-,-,-,-,-,-,-,-,-,26.85,-0.26%,"21,528"
9,ABTX,814.32M,10.28,15.34,-,3.25,1.12,1.15,9.06,80.80%,-8.16%,18.00%,-,20.20%,41.56,0.34%,"18,339"
10,AC,815.51M,34.14,-,-,38.47,0.90,2.34,43.38,207.80%,-,45.80%,-,-7.70%,37.15,-1.51%,245
11,ACC,9.06B,165.01,117.02,5.58,9.21,2.93,103.27,111.81,-53.30%,-50.27%,-20.60%,29.56%,3.70%,65.18,0.00%,"1,714,228"
12,ACEL,1.01B,23.04,9.93,1.06,1.29,6.27,4.46,13.19,-,17.10%,-,21.74%,-,11.23,0.04%,"74,630"
13,ACET,660.58M,-,-,-,17.07,2.22,-,-,60.00%,-88.00%,-,29.10%,-,17.62,1.73%,"64,282"
14,ACEV,141.71M,18.71,-,-,-,3.32,-,-,163.60%,-,-,-,-,10.19,0.10%,"9,272"
15,ACGL,16.23B,9.39,8.54,0.19,1.89,1.36,19.97,5.11,57.30%,18.23%,24.10%,49.25%,14.90%,43.71,-0.39%,"316,594"
16,ACHC,6.78B,29.06,23.20,2.88,2.85,2.68,48.30,48.96,40.30%,10.49%,99.20%,10.08%,-3.80%,76.88,-0.44%,"249,000"
17,ACI,14.28B,10.39,9.18,173.13,0.20,4.23,4.92,8.40,83.70%,2.27%,32.10%,0.06%,3.80%,26.82,1.19%,"1,053,565"
18,ACII,423.97M,70.21,-,-,-,1.24,1059.92,-,-,-,-,-,-,9.85,0.20%,829
19,ACKIT,-,-,-,-,-,-,-,-,-,-,-,-,-,10.31,-0.19%,53
20,ACLS,1.95B,16.75,12.65,0.84,2.66,3.62,6.57,12.84,96.60%,9.02%,51.90%,20.00%,19.90%,64.25,5.60%,"256,599"
